FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
1301,1959,3604,35,85,50999.50017,3604,54,912.33,64883984,3604,32936545.25,80.32,80.55,0.23,"18,24376.30;19,1033543.03;20,1865794.46;21,2190035.64;22,2318066.70;23,1794268.47;24,2424931.03;25,2209472.38;26,2357199.55;27,2169163.47;28,2018186.24;29,3266744.13;30,2467119.91;31,2889428.04;32,3523817.13;33,2687283.23;34,2258198.75;35,1960567.36;36,1641390.97;37,2529986.10;38,1952637.98;39,1747240.65;40,1767135.87;41,2165389.33;42,1633585.68;43,1620412.93;44,1548490.72;45,1807672.40;46,1811198.68;47,2061857.52;48,1658566.01;49,985940.61;50,489269.67;",0.89
1302,41,90,6,10,6530.582824,76,7,727.17,71288364.75,76,32795306.51,1.38,2.27,0.88,"0,1127934.85;1,4981042.64;2,11370927.64;3,13913753.17;4,12297945.24;5,11066461.20;6,7922814.67;7,4207448.97;8,2480620.98;9,1261266.55;10,573936.55;11,83117.47;",1
1303,1959,5509,49,100,62814.0985,5383,76,806.71,60134776,5383,32733706.94,128.69,132.16,3.47,"23,112157.65;24,485755.43;25,1553268.31;26,1554301.19;27,2169555.28;28,1630515.78;29,1721050.89;30,1718823.89;31,1832295.02;32,2027962.41;33,1648121.82;34,2103723.47;35,2146118.45;36,1530531.40;37,2260340.00;38,2017135.72;39,2750673.83;40,2745660.41;41,1618286.05;42,1963394.62;43,2251766.87;44,1465013.88;45,1945843.09;46,1878867.19;47,1893142.41;48,1514142.18;49,1659837.58;50,1916057.79;51,1502985.28;52,1331861.48;53,1658511.50;54,1241896.60;55,1649853.65;56,1554428.37;57,921684.41;58,154011.01;",0.89
1304,1959,3856,40,87,52423.51731,3765,64,795.74,58271522,3765,32633235.4,85.24,87.87,2.63,"17,95213.39;18,885108.98;19,1779707.59;20,1290230.74;21,1290424.11;22,1321842.70;23,1765916.27;24,1894708.12;25,1903821.33;26,2137924.68;27,2124540.09;28,1485199.56;29,1881052.57;30,2511173.72;31,2615992.53;32,2828979.78;33,1724310.03;34,1964052.52;35,2295530.39;36,1636976.80;37,2149018.75;38,1801064.93;39,2104794.46;40,1944315.56;41,1611967.57;42,1973667.81;43,1967752.62;44,2173227.50;45,2056175.78;46,1644391.68;47,2202067.69;48,1198575.17;49,6736.29;",0.87
1305,1861,1875,8,12,7563.159981,1861,11,0,72973995,1861,32489187.22,36.05,36.4,0.35,"0,1679647.20;1,4169094.08;2,6424077.13;3,10154332.27;4,13017895.96;5,10947168.12;6,8164151.18;7,6562501.03;8,4286431.78;9,2913778.87;10,3307775.65;11,1346513.19;",0.99
1306,1959,3933,25,64,38672.92773,3807,41,901.14,63317489,3807,32434845.96,86.45,90.07,3.62,"10,8251.51;11,1149055.73;12,1383035.24;13,1566344.71;14,1657863.00;15,2141731.32;16,1664033.76;17,2488121.46;18,2237942.64;19,2226594.68;20,2639395.24;21,2830049.48;22,3749412.19;23,4138728.94;24,4105739.99;25,2729768.49;26,3280632.54;27,3112512.73;28,3156137.38;29,2414566.22;30,2956749.45;31,2441278.34;32,2135970.72;33,1536979.06;34,1985050.18;35,2105943.34;36,1000937.92;37,388807.51;38,80968.48;",0.94
1307,1959,4886,9,22,13466.94116,4858,14,843.21,78422936,4858,32431371.88,113.86,115.02,1.16,"1,421177.59;2,2166442.65;3,2597650.56;4,4620362.16;5,6582061.13;6,7763800.49;7,9160530.37;8,9067259.51;9,8831809.38;10,7445434.81;11,4839626.47;12,4498210.20;13,3136600.81;14,2450351.25;15,2314749.50;16,1798749.39;17,726341.84;",0.99
1308,1959,3534,11,27,16163.27502,3513,18,809.72,103884730,3513,32431035.01,77.55,78.53,0.98,"3,2141927.84;4,2878806.13;5,3828331.11;6,5838795.80;7,7929127.19;8,10383910.74;9,12047357.35;10,11679419.37;11,11478517.03;12,9482537.82;13,8058870.48;14,5655585.42;15,4309294.11;16,3201811.56;17,2606227.18;18,2360041.54;",1
1309,1959,5705,36,95,57350.5171,5705,67,832.6,51447896,5705,32417556.1,135.97,137.52,1.55,"19,108887.05;20,384872.09;21,595588.97;22,588126.36;23,937206.50;24,1849648.56;25,1588090.35;26,1462104.80;27,1986938.67;28,1602420.09;29,1532689.19;30,1905353.81;31,2088644.86;32,1594548.02;33,1635835.29;34,2128380.77;35,1236344.01;36,2440163.82;37,2424621.05;38,2083393.94;39,2047305.35;40,1364400.66;41,2129851.35;42,1732364.71;43,1199194.95;44,1277071.77;45,1546424.88;46,1660880.95;47,1067198.82;48,1669802.96;49,1482999.35;50,1297061.22;51,957918.80;52,964117.14;53,694480.81;54,177994.41;",0.9
1310,1959,3002,22,55,33145.50891,2981,41,772.46,61246354,2981,32384834.6,62.8,63.41,0.61,"10,912716.67;11,2601024.34;12,1782780.75;13,3044921.55;14,1671131.77;15,2558590.34;16,3001554.42;17,2459611.12;18,4517566.18;19,3265457.85;20,2753336.19;21,2666003.00;22,3729232.00;23,3705963.63;24,2860687.51;25,3664326.23;26,2155270.02;27,1305927.98;28,2739453.31;29,3527385.92;30,1720042.21;31,1869496.01;32,2093046.90;33,638646.82;",0.9
1311,1959,3786,45,82,49663.34118,3786,65,742.81,60524990,3786,32340583.51,84.81,85.85,1.04,"16,42100.34;17,460077.37;18,1662090.07;19,1698293.76;20,2057220.95;21,2377962.51;22,1779987.82;23,1997620.25;24,2257450.07;25,2027200.41;26,1874567.31;27,1875246.96;28,1807884.25;29,2307910.65;30,3109724.87;31,2745078.28;32,2200197.48;33,2443582.79;34,2080819.51;35,2037416.09;36,1917360.47;37,2500499.54;38,1914091.61;39,1581729.92;40,2175551.40;41,1819930.65;42,1944316.44;43,1735913.52;44,2289068.20;45,1943073.49;46,1469453.57;47,386739.70;",0.87
