FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
735,597,611,14,19,12530.4563,597,15,738.52,256775776,597,146529578.2,10.31,10.59,0.27,"2,1293513.71;3,2588646.23;4,6762459.48;5,25656077.02;6,41556288.87;7,52864768.21;8,48225735.42;9,31907189.46;10,19570069.98;11,9266726.22;12,4470555.78;13,2825770.93;14,3116217.13;15,5034848.89;16,421312.38;17,1072055.32;18,143147.91;",0.95
736,772,800,11,24,14729.89813,793,20,671.27,454247904,793,146344196.5,13.57,14.15,0.57,"1,3314766.83;2,4188415.15;3,13150140.59;4,13595787.54;5,27795354.73;6,41833851.57;7,49395055.47;8,60775320.84;9,56851419.93;10,51618504.54;11,42321806.58;12,28245248.46;13,18092764.22;14,16586168.63;15,9799750.46;16,9556186.72;17,5369394.21;18,879868.17;19,875272.15;",0.99
737,968,982,27,47,28509.37598,968,44,621.18,246023280,968,146138466.6,17.41,17.68,0.27,"10,69093.55;11,8917181.29;12,17540789.30;13,9480692.57;14,20231517.24;15,13609042.81;16,13088411.28;17,20616680.97;18,12249628.01;19,15769921.82;20,11540709.37;21,13625174.01;22,10846728.76;23,13074583.95;24,8527267.36;25,8160271.94;26,6727661.61;27,4461958.45;28,7917291.79;29,6285256.81;30,7484674.86;31,7362494.22;32,5190974.79;33,2606539.40;34,636905.23;",0.92
738,1164,1178,4,9,5494.292199,1171,8,0,319696196,1171,145854314.9,21.33,21.57,0.24,"0,15262384.52;1,44087584.16;2,57390622.28;3,69639038.61;4,50291988.43;5,43904101.92;6,18561799.44;7,13578994.08;8,6979217.11;",1
739,646,660,16,38,23040.57321,660,30,721.49,285770336,660,145773102,11.22,11.5,0.27,"7,804126.75;8,4730817.31;9,11791295.71;10,19953007.87;11,24114151.04;12,31642403.87;13,27814788.16;14,32068592.93;15,32211519.03;16,22660536.04;17,9428038.47;18,3233878.87;19,7076567.22;20,11721545.34;21,11460648.73;22,8429830.69;23,7001097.07;24,3715880.15;25,7300351.57;26,3844165.57;27,4601376.24;28,164668.92;",0.95
740,1808,1892,13,31,19082.89483,1836,25,708.21,1064490408,1836,145608821.3,32.83,34.87,2.05,"3,2989320.15;4,15281366.00;5,23239299.19;6,33866929.21;7,45892066.39;8,74360950.18;9,91017887.52;10,96246716.73;11,103582978.78;12,109617403.42;13,97973889.13;14,88074789.49;15,72196406.67;16,53861930.23;17,43157815.09;18,43340325.39;19,28962362.27;20,23224254.54;21,12637722.41;22,4954443.74;",0.99
741,716,730,18,47,28179.53531,730,44,613.99,270308744,730,144952701.3,12.5,12.76,0.26,"8,11690.05;9,5793460.58;10,10018061.62;11,8524834.99;12,16392481.01;13,8504978.20;14,16812733.73;15,18976056.13;16,17239058.71;17,17885116.45;18,16167189.58;19,20547642.22;20,10923392.33;21,16417510.76;22,10671504.42;23,11946384.50;24,5076423.83;25,8575119.12;26,5351364.13;27,9415841.81;28,11698294.69;29,6980924.37;30,7842703.20;31,8534540.39;",0.93
742,1353,1395,6,10,6186.90835,1353,9,0,265457528,1353,144794108.9,24.65,25.38,0.72,"1,18812986.20;2,62743004.45;3,51700164.72;4,40300105.19;5,27577868.45;6,14851684.67;7,18179765.12;8,8056611.00;9,7170727.27;10,8057939.35;11,8006267.33;",0.96
743,1944,2130,40,76,45909.3124,2130,52,851.98,240517064,2130,144460880.2,37.97,40.55,2.57,"16,16861.14;17,1179574.48;18,2855141.13;19,5320000.79;20,8577435.34;21,13131425.89;22,11695380.02;23,8922240.22;24,9775620.53;25,13091134.95;26,7514251.82;27,10368394.77;28,9114148.64;29,12781583.24;30,9250527.52;31,7054564.46;32,17365702.43;33,6908640.77;34,5886251.59;35,9182690.49;36,8456703.52;37,8433050.43;38,5334175.19;39,6154926.24;40,9538920.34;41,2758077.41;42,7155335.56;43,5603072.37;44,5014073.57;45,6140541.72;46,2330746.10;47,2931026.68;48,671109.29;",0.88
744,1944,2256,12,28,17223.46096,2249,18,862.7,391018642,2249,143614127,42.09,43.47,1.38,"2,1410448.03;3,4057640.07;4,8748460.54;5,12596705.50;6,18269044.64;7,24555152.65;8,31680501.19;9,39304771.06;10,50338547.82;11,44145030.03;12,38572986.29;13,30978290.83;14,20720116.62;15,19757537.79;16,18061312.44;17,11566923.34;18,9469320.72;19,4524252.74;20,2258848.40;",0.99
